x	y	z	valeur
0.000000	0.000000	0.000000	0.003409
0.000000	0.000000	0.100000	0.003409
0.000000	0.000000	0.200000	0.003212
0.000000	0.000000	0.300000	0.002635
0.000000	0.000000	0.400000	0.002268
0.000000	0.000000	0.500000	0.001961
0.000000	0.000000	0.600000	0.001735
0.000000	0.000000	0.700000	0.001611
0.000000	0.000000	0.800000	0.001530
0.000000	0.000000	0.900000	0.001166
0.000000	0.000000	1.000000	0.001166
0.000000	0.100000	0.000000	0.003409
0.000000	0.100000	0.100000	0.003409
0.000000	0.100000	0.200000	0.003212
0.000000	0.100000	0.300000	0.002635
0.000000	0.100000	0.400000	0.002268
0.000000	0.100000	0.500000	0.001961
0.000000	0.100000	0.600000	0.001735
0.000000	0.100000	0.700000	0.001611
0.000000	0.100000	0.800000	0.001530
0.000000	0.100000	0.900000	0.001166
0.000000	0.100000	1.000000	0.001166
0.000000	0.200000	0.000000	0.003130
0.000000	0.200000	0.100000	0.003130
0.000000	0.200000	0.200000	0.003212
0.000000	0.200000	0.300000	0.002966
0.000000	0.200000	0.400000	0.002872
0.000000	0.200000	0.500000	0.002438
0.000000	0.200000	0.600000	0.002213
0.000000	0.200000	0.700000	0.001976
0.000000	0.200000	0.800000	0.001713
0.000000	0.200000	0.900000	0.001193
0.000000	0.200000	1.000000	0.001193
0.000000	0.300000	0.000000	0.003218
0.000000	0.300000	0.100000	0.003218
0.000000	0.300000	0.200000	0.003249
0.000000	0.300000	0.300000	0.003163
0.000000	0.300000	0.400000	0.002992
0.000000	0.300000	0.500000	0.002955
0.000000	0.300000	0.600000	0.002560
0.000000	0.300000	0.700000	0.002149
0.000000	0.300000	0.800000	0.001446
0.000000	0.300000	0.900000	0.001527
0.000000	0.300000	1.000000	0.001527
0.000000	0.400000	0.000000	0.003183
0.000000	0.400000	0.100000	0.003183
0.000000	0.400000	0.200000	0.003276
0.000000	0.400000	0.300000	0.003261
0.000000	0.400000	0.400000	0.003157
0.000000	0.400000	0.500000	0.003094
0.000000	0.400000	0.600000	0.002746
0.000000	0.400000	0.700000	0.002181
0.000000	0.400000	0.800000	0.001308
0.000000	0.400000	0.900000	0.001190
0.000000	0.400000	1.000000	0.001190
0.000000	0.500000	0.000000	0.003179
0.000000	0.500000	0.100000	0.003179
0.000000	0.500000	0.200000	0.003287
0.000000	0.500000	0.300000	0.003293
0.000000	0.500000	0.400000	0.003208
0.000000	0.500000	0.500000	0.003138
0.000000	0.500000	0.600000	0.002815
0.000000	0.500000	0.700000	0.002208
0.000000	0.500000	0.800000	0.001275
0.000000	0.500000	0.900000	0.001120
0.000000	0.500000	1.000000	0.001120
0.000000	0.600000	0.000000	0.003193
0.000000	0.600000	0.100000	0.003193
0.000000	0.600000	0.200000	0.003285
0.000000	0.600000	0.300000	0.003263
0.000000	0.600000	0.400000	0.003149
0.000000	0.600000	0.500000	0.003099
0.000000	0.600000	0.600000	0.002776
0.000000	0.600000	0.700000	0.002251
0.000000	0.600000	0.800000	0.001379
0.000000	0.600000	0.900000	0.001235
0.000000	0.600000	1.000000	0.001235
0.000000	0.700000	0.000000	0.003232
0.000000	0.700000	0.100000	0.003232
0.000000	0.700000	0.200000	0.003264
0.000000	0.700000	0.300000	0.003155
0.000000	0.700000	0.400000	0.003012
0.000000	0.700000	0.500000	0.002985
0.000000	0.700000	0.600000	0.002560
0.000000	0.700000	0.700000	0.002217
0.000000	0.700000	0.800000	0.001578
0.000000	0.700000	0.900000	0.001627
0.000000	0.700000	1.000000	0.001627
0.000000	0.800000	0.000000	0.003335
0.000000	0.800000	0.100000	0.003335
0.000000	0.800000	0.200000	0.003234
0.000000	0.800000	0.300000	0.002986
0.000000	0.800000	0.400000	0.002893
0.000000	0.800000	0.500000	0.002346
0.000000	0.800000	0.600000	0.002102
0.000000	0.800000	0.700000	0.001847
0.000000	0.800000	0.800000	0.001575
0.000000	0.800000	0.900000	0.001160
0.000000	0.800000	1.000000	0.001160
0.000000	0.900000	0.000000	0.003634
0.000000	0.900000	0.100000	0.003634
0.000000	0.900000	0.200000	0.003270
0.000000	0.900000	0.300000	0.002765
0.000000	0.900000	0.400000	0.002223
0.000000	0.900000	0.500000	0.001879
0.000000	0.900000	0.600000	0.001589
0.000000	0.900000	0.700000	0.001379
0.000000	0.900000	0.800000	0.001281
0.000000	0.900000	0.900000	0.001123
0.000000	0.900000	1.000000	0.001123
0.000000	1.000000	0.000000	0.003634
0.000000	1.000000	0.100000	0.003634
0.000000	1.000000	0.200000	0.003270
0.000000	1.000000	0.300000	0.002765
0.000000	1.000000	0.400000	0.002223
0.000000	1.000000	0.500000	0.001879
0.000000	1.000000	0.600000	0.001589
0.000000	1.000000	0.700000	0.001379
0.000000	1.000000	0.800000	0.001281
0.000000	1.000000	0.900000	0.001123
0.000000	1.000000	1.000000	0.001123
0.100000	0.000000	0.000000	0.003409
0.100000	0.000000	0.100000	0.003409
0.100000	0.000000	0.200000	0.003212
0.100000	0.000000	0.300000	0.002635
0.100000	0.000000	0.400000	0.002268
0.100000	0.000000	0.500000	0.001961
0.100000	0.000000	0.600000	0.001735
0.100000	0.000000	0.700000	0.001611
0.100000	0.000000	0.800000	0.001530
0.100000	0.000000	0.900000	0.001166
0.100000	0.000000	1.000000	0.001166
0.100000	0.100000	0.000000	0.003409
0.100000	0.100000	0.100000	0.003409
0.100000	0.100000	0.200000	0.003212
0.100000	0.100000	0.300000	0.002635
0.100000	0.100000	0.400000	0.002268
0.100000	0.100000	0.500000	0.001961
0.100000	0.100000	0.600000	0.001735
0.100000	0.100000	0.700000	0.001611
0.100000	0.100000	0.800000	0.001530
0.100000	0.100000	0.900000	0.001166
0.100000	0.100000	1.000000	0.001166
0.100000	0.200000	0.000000	0.003130
0.100000	0.200000	0.100000	0.003130
0.100000	0.200000	0.200000	0.003212
0.100000	0.200000	0.300000	0.002966
0.100000	0.200000	0.400000	0.002872
0.100000	0.200000	0.500000	0.002438
0.100000	0.200000	0.600000	0.002213
0.100000	0.200000	0.700000	0.001976
0.100000	0.200000	0.800000	0.001713
0.100000	0.200000	0.900000	0.001193
0.100000	0.200000	1.000000	0.001193
0.100000	0.300000	0.000000	0.003218
0.100000	0.300000	0.100000	0.003218
0.100000	0.300000	0.200000	0.003249
0.100000	0.300000	0.300000	0.003163
0.100000	0.300000	0.400000	0.002992
0.100000	0.300000	0.500000	0.002955
0.100000	0.300000	0.600000	0.002560
0.100000	0.300000	0.700000	0.002149
0.100000	0.300000	0.800000	0.001446
0.100000	0.300000	0.900000	0.001527
0.100000	0.300000	1.000000	0.001527
0.100000	0.400000	0.000000	0.003183
0.100000	0.400000	0.100000	0.003183
0.100000	0.400000	0.200000	0.003276
0.100000	0.400000	0.300000	0.003261
0.100000	0.400000	0.400000	0.003157
0.100000	0.400000	0.500000	0.003094
0.100000	0.400000	0.600000	0.002746
0.100000	0.400000	0.700000	0.002181
0.100000	0.400000	0.800000	0.001308
0.100000	0.400000	0.900000	0.001190
0.100000	0.400000	1.000000	0.001190
0.100000	0.500000	0.000000	0.003179
0.100000	0.500000	0.100000	0.003179
0.100000	0.500000	0.200000	0.003287
0.100000	0.500000	0.300000	0.003293
0.100000	0.500000	0.400000	0.003208
0.100000	0.500000	0.500000	0.003138
0.100000	0.500000	0.600000	0.002815
0.100000	0.500000	0.700000	0.002208
0.100000	0.500000	0.800000	0.001275
0.100000	0.500000	0.900000	0.001120
0.100000	0.500000	1.000000	0.001120
0.100000	0.600000	0.000000	0.003193
0.100000	0.600000	0.100000	0.003193
0.100000	0.600000	0.200000	0.003285
0.100000	0.600000	0.300000	0.003263
0.100000	0.600000	0.400000	0.003149
0.100000	0.600000	0.500000	0.003099
0.100000	0.600000	0.600000	0.002776
0.100000	0.600000	0.700000	0.002251
0.100000	0.600000	0.800000	0.001379
0.100000	0.600000	0.900000	0.001235
0.100000	0.600000	1.000000	0.001235
0.100000	0.700000	0.000000	0.003232
0.100000	0.700000	0.100000	0.003232
0.100000	0.700000	0.200000	0.003264
0.100000	0.700000	0.300000	0.003155
0.100000	0.700000	0.400000	0.003012
0.100000	0.700000	0.500000	0.002985
0.100000	0.700000	0.600000	0.002560
0.100000	0.700000	0.700000	0.002217
0.100000	0.700000	0.800000	0.001578
0.100000	0.700000	0.900000	0.001627
0.100000	0.700000	1.000000	0.001627
0.100000	0.800000	0.000000	0.003335
0.100000	0.800000	0.100000	0.003335
0.100000	0.800000	0.200000	0.003234
0.100000	0.800000	0.300000	0.002986
0.100000	0.800000	0.400000	0.002893
0.100000	0.800000	0.500000	0.002346
0.100000	0.800000	0.600000	0.002102
0.100000	0.800000	0.700000	0.001847
0.100000	0.800000	0.800000	0.001575
0.100000	0.800000	0.900000	0.001160
0.100000	0.800000	1.000000	0.001160
0.100000	0.900000	0.000000	0.003634
0.100000	0.900000	0.100000	0.003634
0.100000	0.900000	0.200000	0.003270
0.100000	0.900000	0.300000	0.002765
0.100000	0.900000	0.400000	0.002223
0.100000	0.900000	0.500000	0.001879
0.100000	0.900000	0.600000	0.001589
0.100000	0.900000	0.700000	0.001379
0.100000	0.900000	0.800000	0.001281
0.100000	0.900000	0.900000	0.001123
0.100000	0.900000	1.000000	0.001123
0.100000	1.000000	0.000000	0.003634
0.100000	1.000000	0.100000	0.003634
0.100000	1.000000	0.200000	0.003270
0.100000	1.000000	0.300000	0.002765
0.100000	1.000000	0.400000	0.002223
0.100000	1.000000	0.500000	0.001879
0.100000	1.000000	0.600000	0.001589
0.100000	1.000000	0.700000	0.001379
0.100000	1.000000	0.800000	0.001281
0.100000	1.000000	0.900000	0.001123
